scenario_source,scenario,sector,technology,region,year,smsp,tmsr
pdp8_2023,pdp8_ndc,power,coalcap,vietnam,2025,0.32,1
pdp8_2023,pdp8_ndc,power,coalcap,vietnam,2026,0.31,1
pdp8_2023,pdp8_ndc,power,coalcap,vietnam,2027,0.3,0.97
pdp8_2023,pdp8_ndc,power,coalcap,vietnam,2028,0.29,0.94
pdp8_2023,pdp8_ndc,power,coalcap,vietnam,2029,0.28,0.9
pdp8_2023,pdp8_ndc,power,coalcap,vietnam,2030,0.26,0.87
pdp8_2023,pdp8_ndc,power,gascap,vietnam,2025,0.12,1
pdp8_2023,pdp8_ndc,power,gascap,vietnam,2026,0.13,1.12
pdp8_2023,pdp8_ndc,power,gascap,vietnam,2027,0.14,1.28
pdp8_2023,pdp8_ndc,power,gascap,vietnam,2028,0.15,1.46
pdp8_2023,pdp8_ndc,power,gascap,vietnam,2029,0.16,1.65
pdp8_2023,pdp8_ndc,power,gascap,vietnam,2030,0.17,1.88
pdp8_2023,pdp8_ndc,power,hydrocap,vietnam,2025,0.26,1
pdp8_2023,pdp8_ndc,power,hydrocap,vietnam,2026,0.25,1
pdp8_2023,pdp8_ndc,power,hydrocap,vietnam,2027,0.24,1.02
pdp8_2023,pdp8_ndc,power,hydrocap,vietnam,2028,0.23,1.04
pdp8_2023,pdp8_ndc,power,hydrocap,vietnam,2029,0.22,1.05
pdp8_2023,pdp8_ndc,power,hydrocap,vietnam,2030,0.21,1.07
pdp8_2023,pdp8_ndc,power,renewablescap,vietnam,2025,0.26,1
pdp8_2023,pdp8_ndc,power,renewablescap,vietnam,2026,0.28,1.18
pdp8_2023,pdp8_ndc,power,renewablescap,vietnam,2027,0.3,1.4
pdp8_2023,pdp8_ndc,power,renewablescap,vietnam,2028,0.31,1.65
pdp8_2023,pdp8_ndc,power,renewablescap,vietnam,2029,0.32,1.95
pdp8_2023,pdp8_ndc,power,renewablescap,vietnam,2030,0.34,2.3
pdp8_2023,pdp8_ndc,power,oilcap,vietnam,2025,0.04,1
pdp8_2023,pdp8_ndc,power,oilcap,vietnam,2026,0.03,0.9
pdp8_2023,pdp8_ndc,power,oilcap,vietnam,2027,0.02,0.8
pdp8_2023,pdp8_ndc,power,oilcap,vietnam,2028,0.02,0.75
pdp8_2023,pdp8_ndc,power,oilcap,vietnam,2029,0.02,0.7
pdp8_2023,pdp8_ndc,power,oilcap,vietnam,2030,0.02,0.65
pdp8_2023,pdp8_ndc,automotive,ice,vietnam,2025,0.95,1
pdp8_2023,pdp8_ndc,automotive,ice,vietnam,2026,0.91,1.0042
pdp8_2023,pdp8_ndc,automotive,ice,vietnam,2027,0.85,0.9813
pdp8_2023,pdp8_ndc,automotive,ice,vietnam,2028,0.78,0.9535
pdp8_2023,pdp8_ndc,automotive,ice,vietnam,2029,0.7,0.9032
pdp8_2023,pdp8_ndc,automotive,ice,vietnam,2030,0.6,0.8149
pdp8_2023,pdp8_ndc,automotive,electric,vietnam,2025,0.02,1
pdp8_2023,pdp8_ndc,automotive,electric,vietnam,2026,0.05,2.621
pdp8_2023,pdp8_ndc,automotive,electric,vietnam,2027,0.09,4.9355
pdp8_2023,pdp8_ndc,automotive,electric,vietnam,2028,0.14,8.129
pdp8_2023,pdp8_ndc,automotive,electric,vietnam,2029,0.2,12.2581
pdp8_2023,pdp8_ndc,automotive,electric,vietnam,2030,0.28,18.0645
pdp8_2023,pdp8_ndc,automotive,hybrid,vietnam,2025,0.03,1
pdp8_2023,pdp8_ndc,automotive,hybrid,vietnam,2026,0.04,1.3978
pdp8_2023,pdp8_ndc,automotive,hybrid,vietnam,2027,0.06,2.1935
pdp8_2023,pdp8_ndc,automotive,hybrid,vietnam,2028,0.08,3.0968
pdp8_2023,pdp8_ndc,automotive,hybrid,vietnam,2029,0.1,4.086
pdp8_2023,pdp8_ndc,automotive,hybrid,vietnam,2030,0.12,5.1613
steps_2023,steps,power,coalcap,vietnam,2025,0.32,1
steps_2023,steps,power,coalcap,vietnam,2026,0.32,1.02
steps_2023,steps,power,coalcap,vietnam,2027,0.31,1.03
steps_2023,steps,power,coalcap,vietnam,2028,0.3,1.04
steps_2023,steps,power,coalcap,vietnam,2029,0.3,1.04
steps_2023,steps,power,coalcap,vietnam,2030,0.29,1.05
steps_2023,steps,power,gascap,vietnam,2025,0.12,1
steps_2023,steps,power,gascap,vietnam,2026,0.12,1.05
steps_2023,steps,power,gascap,vietnam,2027,0.13,1.1
steps_2023,steps,power,gascap,vietnam,2028,0.13,1.15
steps_2023,steps,power,gascap,vietnam,2029,0.14,1.2
steps_2023,steps,power,gascap,vietnam,2030,0.14,1.25
steps_2023,steps,power,hydrocap,vietnam,2025,0.26,1
steps_2023,steps,power,hydrocap,vietnam,2026,0.25,1
steps_2023,steps,power,hydrocap,vietnam,2027,0.25,1.01
steps_2023,steps,power,hydrocap,vietnam,2028,0.25,1.02
steps_2023,steps,power,hydrocap,vietnam,2029,0.24,1.03
steps_2023,steps,power,hydrocap,vietnam,2030,0.24,1.04
steps_2023,steps,power,renewablescap,vietnam,2025,0.26,1
steps_2023,steps,power,renewablescap,vietnam,2026,0.27,1.1
steps_2023,steps,power,renewablescap,vietnam,2027,0.28,1.2
steps_2023,steps,power,renewablescap,vietnam,2028,0.29,1.3
steps_2023,steps,power,renewablescap,vietnam,2029,0.3,1.4
steps_2023,steps,power,renewablescap,vietnam,2030,0.31,1.5
steps_2023,steps,power,oilcap,vietnam,2025,0.04,1
steps_2023,steps,power,oilcap,vietnam,2026,0.04,1
steps_2023,steps,power,oilcap,vietnam,2027,0.03,0.95
steps_2023,steps,power,oilcap,vietnam,2028,0.03,0.9
steps_2023,steps,power,oilcap,vietnam,2029,0.02,0.85
steps_2023,steps,power,oilcap,vietnam,2030,0.02,0.8
steps_2023,steps,automotive,ice,vietnam,2025,0.95,1
steps_2023,steps,automotive,ice,vietnam,2026,0.94,1.0374
steps_2023,steps,automotive,ice,vietnam,2027,0.93,1.0737
steps_2023,steps,automotive,ice,vietnam,2028,0.91,1.1124
steps_2023,steps,automotive,ice,vietnam,2029,0.89,1.1484
steps_2023,steps,automotive,ice,vietnam,2030,0.87,1.1817
steps_2023,steps,automotive,electric,vietnam,2025,0.02,1
steps_2023,steps,automotive,electric,vietnam,2026,0.02,1.0484
steps_2023,steps,automotive,electric,vietnam,2027,0.03,1.6452
steps_2023,steps,automotive,electric,vietnam,2028,0.04,2.3226
steps_2023,steps,automotive,electric,vietnam,2029,0.05,3.0645
steps_2023,steps,automotive,electric,vietnam,2030,0.06,3.871
steps_2023,steps,automotive,hybrid,vietnam,2025,0.03,1
steps_2023,steps,automotive,hybrid,vietnam,2026,0.04,1.3978
steps_2023,steps,automotive,hybrid,vietnam,2027,0.04,1.4624
steps_2023,steps,automotive,hybrid,vietnam,2028,0.05,1.9355
steps_2023,steps,automotive,hybrid,vietnam,2029,0.06,2.4516
steps_2023,steps,automotive,hybrid,vietnam,2030,0.07,3.0108
nze_2023,nze_global,power,coalcap,vietnam,2025,0.32,1
nze_2023,nze_global,power,coalcap,vietnam,2026,0.29,0.9
nze_2023,nze_global,power,coalcap,vietnam,2027,0.25,0.77
nze_2023,nze_global,power,coalcap,vietnam,2028,0.2,0.6
nze_2023,nze_global,power,coalcap,vietnam,2029,0.15,0.44
nze_2023,nze_global,power,coalcap,vietnam,2030,0.1,0.28
nze_2023,nze_global,power,gascap,vietnam,2025,0.12,1
nze_2023,nze_global,power,gascap,vietnam,2026,0.13,1.1
nze_2023,nze_global,power,gascap,vietnam,2027,0.14,1.2
nze_2023,nze_global,power,gascap,vietnam,2028,0.14,1.22
nze_2023,nze_global,power,gascap,vietnam,2029,0.14,1.24
nze_2023,nze_global,power,gascap,vietnam,2030,0.14,1.25
nze_2023,nze_global,power,hydrocap,vietnam,2025,0.26,1
nze_2023,nze_global,power,hydrocap,vietnam,2026,0.24,1
nze_2023,nze_global,power,hydrocap,vietnam,2027,0.22,1.02
nze_2023,nze_global,power,hydrocap,vietnam,2028,0.21,1.04
nze_2023,nze_global,power,hydrocap,vietnam,2029,0.2,1.05
nze_2023,nze_global,power,hydrocap,vietnam,2030,0.19,1.06
nze_2023,nze_global,power,renewablescap,vietnam,2025,0.26,1
nze_2023,nze_global,power,renewablescap,vietnam,2026,0.3,1.3
nze_2023,nze_global,power,renewablescap,vietnam,2027,0.37,1.8
nze_2023,nze_global,power,renewablescap,vietnam,2028,0.44,2.4
nze_2023,nze_global,power,renewablescap,vietnam,2029,0.5,3.1
nze_2023,nze_global,power,renewablescap,vietnam,2030,0.56,3.8
nze_2023,nze_global,power,oilcap,vietnam,2025,0.04,1
nze_2023,nze_global,power,oilcap,vietnam,2026,0.04,0.9
nze_2023,nze_global,power,oilcap,vietnam,2027,0.02,0.6
nze_2023,nze_global,power,oilcap,vietnam,2028,0.01,0.35
nze_2023,nze_global,power,oilcap,vietnam,2029,0.01,0.2
nze_2023,nze_global,power,oilcap,vietnam,2030,0.01,0.1
nze_2023,nze_global,automotive,ice,vietnam,2025,0.95,1
nze_2023,nze_global,automotive,ice,vietnam,2026,0.86,0.9491
nze_2023,nze_global,automotive,ice,vietnam,2027,0.75,0.8659
nze_2023,nze_global,automotive,ice,vietnam,2028,0.62,0.7579
nze_2023,nze_global,automotive,ice,vietnam,2029,0.5,0.6452
nze_2023,nze_global,automotive,ice,vietnam,2030,0.4,0.5433
nze_2023,nze_global,automotive,electric,vietnam,2025,0.02,1
nze_2023,nze_global,automotive,electric,vietnam,2026,0.08,4.1935
nze_2023,nze_global,automotive,electric,vietnam,2027,0.17,9.3226
nze_2023,nze_global,automotive,electric,vietnam,2028,0.28,16.2581
nze_2023,nze_global,automotive,electric,vietnam,2029,0.4,24.5161
nze_2023,nze_global,automotive,electric,vietnam,2030,0.5,32.2581
nze_2023,nze_global,automotive,hybrid,vietnam,2025,0.03,1
nze_2023,nze_global,automotive,hybrid,vietnam,2026,0.06,2.0968
nze_2023,nze_global,automotive,hybrid,vietnam,2027,0.08,2.9247
nze_2023,nze_global,automotive,hybrid,vietnam,2028,0.1,3.871
nze_2023,nze_global,automotive,hybrid,vietnam,2029,0.1,4.086
nze_2023,nze_global,automotive,hybrid,vietnam,2030,0.1,4.3011
