id_loan,id_direct_loantaker,name_direct_loantaker,id_ultimate_parent,name_ultimate_parent,loan_size_outstanding,loan_size_outstanding_currency,loan_size_credit_limit,loan_size_credit_limit_currency,sector_classification_system,sector_classification_direct_loantaker,lei_direct_loantaker,isin_direct_loantaker,sector_classified,borderline_classified,id_2dii,level,sector,sector_abcd,name,name_abcd,score,source,borderline
VN_L043,VN_C043,Dong Bac Corporation,VN_UP025,Dong Bac Corporation,400000,VND,480000,VND,ISIC,B0510,NA,NA,coal,FALSE,DL4,direct_loantaker,coal,coal,Dong Bac Corporation,Dong Bac Corporation,1,loanbook,FALSE
VN_L001,VN_C001,Nhiet Dien Vinh Tan 1 JSC,VN_UP001,EVN (Electricity of Vietnam),800000,VND,960000,VND,ISIC,D3511,NA,NA,power,FALSE,UP4,ultimate_parent,power,power,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam),1,loanbook,FALSE
VN_L002,VN_C002,Nhiet Dien Vinh Tan 4 JSC,VN_UP001,EVN (Electricity of Vietnam),650000,VND,780000,VND,ISIC,D3511,NA,NA,power,FALSE,UP4,ultimate_parent,power,power,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam),1,loanbook,FALSE
VN_L003,VN_C003,Nhiet Dien Duyen Hai 1 JSC,VN_UP001,EVN (Electricity of Vietnam),720000,VND,864000,VND,ISIC,D3511,NA,NA,power,FALSE,UP4,ultimate_parent,power,power,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam),1,loanbook,FALSE
VN_L004,VN_C004,Nhiet Dien Duyen Hai 3 JSC,VN_UP001,EVN (Electricity of Vietnam),540000,VND,648000,VND,ISIC,D3511,NA,NA,power,FALSE,UP4,ultimate_parent,power,power,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam),1,loanbook,FALSE
VN_L005,VN_C005,Nhiet Dien Mong Duong 1 JSC,VN_UP002,Vinacomin Power JSC,480000,VND,576000,VND,ISIC,D3511,NA,NA,power,FALSE,UP23,ultimate_parent,power,power,Vinacomin Power JSC,Vinacomin Power JSC,1,loanbook,FALSE
VN_L006,VN_C006,Nhiet Dien Mong Duong 2 LLC,VN_UP003,International Power Mong Duong,620000,VND,744000,VND,ISIC,D3511,NA,NA,power,FALSE,UP11,ultimate_parent,power,power,International Power Mong Duong,International Power Mong Duong,1,loanbook,FALSE
VN_L007,VN_C007,Nhiet Dien Uong Bi JSC,VN_UP001,EVN (Electricity of Vietnam),380000,VND,456000,VND,ISIC,D3511,NA,NA,power,FALSE,UP4,ultimate_parent,power,power,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam),1,loanbook,FALSE
VN_L008,VN_C008,Nhiet Dien Cam Pha JSC,VN_UP002,Vinacomin Power JSC,430000,VND,516000,VND,ISIC,D3511,NA,NA,power,FALSE,UP23,ultimate_parent,power,power,Vinacomin Power JSC,Vinacomin Power JSC,1,loanbook,FALSE
VN_L009,VN_C009,Nhiet Dien Vung Ang 1 JSC,VN_UP001,EVN (Electricity of Vietnam),590000,VND,708000,VND,ISIC,D3511,NA,NA,power,FALSE,UP4,ultimate_parent,power,power,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam),1,loanbook,FALSE
VN_L010,VN_C010,Nhiet Dien Thai Binh 2 JSC,VN_UP004,PVN Power Corporation,780000,VND,936000,VND,ISIC,D3511,NA,NA,power,FALSE,UP13,ultimate_parent,power,power,PVN Power Corporation,PVN Power Corporation,1,loanbook,FALSE
VN_L011,VN_C011,Nhiet Dien Nghi Son 2 LLC,VN_UP005,Nghi Son Power LLC,1030000,VND,1236000,VND,ISIC,D3511,NA,NA,power,FALSE,UP12,ultimate_parent,power,power,Nghi Son Power LLC,Nghi Son Power LLC,1,loanbook,FALSE
VN_L012,VN_C012,PV Power Ca Mau JSC,VN_UP004,PVN Power Corporation,520000,VND,624000,VND,ISIC,D3511,NA,NA,power,FALSE,UP13,ultimate_parent,power,power,PVN Power Corporation,PVN Power Corporation,1,loanbook,FALSE
VN_L013,VN_C013,PV Power Nhon Trach 1 JSC,VN_UP004,PVN Power Corporation,480000,VND,576000,VND,ISIC,D3511,NA,NA,power,FALSE,UP13,ultimate_parent,power,power,PVN Power Corporation,PVN Power Corporation,1,loanbook,FALSE
VN_L014,VN_C014,PV Power Nhon Trach 3-4 JSC,VN_UP004,PVN Power Corporation,750000,VND,900000,VND,ISIC,D3511,NA,NA,power,FALSE,UP13,ultimate_parent,power,power,PVN Power Corporation,PVN Power Corporation,1,loanbook,FALSE
VN_L015,VN_C015,Dung Quat LNG Power JSC,VN_UP006,Dung Quat LNG Power Consortium,680000,VND,816000,VND,ISIC,D3511,NA,NA,power,FALSE,UP3,ultimate_parent,power,power,Dung Quat LNG Power Consortium,Dung Quat LNG Power Consortium,1,loanbook,FALSE
VN_L016,VN_C016,EVN Phu My Gas Power JSC,VN_UP001,EVN (Electricity of Vietnam),570000,VND,684000,VND,ISIC,D3511,NA,NA,power,FALSE,UP4,ultimate_parent,power,power,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam),1,loanbook,FALSE
VN_L017,VN_C017,EVN Hydro Song Ba Ha JSC,VN_UP001,EVN (Electricity of Vietnam),350000,VND,420000,VND,ISIC,D3511,NA,NA,power,FALSE,UP4,ultimate_parent,power,power,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam),1,loanbook,FALSE
VN_L018,VN_C018,EVN Hydro Tri An JSC,VN_UP001,EVN (Electricity of Vietnam),420000,VND,504000,VND,ISIC,D3511,NA,NA,power,FALSE,UP4,ultimate_parent,power,power,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam),1,loanbook,FALSE
VN_L019,VN_C019,Dak Drinh Hydro Power JSC,VN_UP007,Vietnam Hydropower JSC,380000,VND,456000,VND,ISIC,D3511,NA,NA,power,FALSE,UP21,ultimate_parent,power,power,Vietnam Hydropower JSC,Vietnam Hydropower JSC,1,loanbook,FALSE
VN_L020,VN_C020,Song Con 2 Hydro JSC,VN_UP007,Vietnam Hydropower JSC,310000,VND,372000,VND,ISIC,D3511,NA,NA,power,FALSE,UP21,ultimate_parent,power,power,Vietnam Hydropower JSC,Vietnam Hydropower JSC,1,loanbook,FALSE
VN_L021,VN_C021,Bac Me Hydro Power JSC,VN_UP007,Vietnam Hydropower JSC,290000,VND,348000,VND,ISIC,D3511,NA,NA,power,FALSE,UP21,ultimate_parent,power,power,Vietnam Hydropower JSC,Vietnam Hydropower JSC,1,loanbook,FALSE
VN_L022,VN_C022,Lai Chau Hydro Power JSC,VN_UP001,EVN (Electricity of Vietnam),750000,VND,900000,VND,ISIC,D3511,NA,NA,power,FALSE,UP4,ultimate_parent,power,power,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam),1,loanbook,FALSE
VN_L023,VN_C023,Trung Nam Solar Ninh Thuan JSC,VN_UP008,Trung Nam Group,450000,VND,540000,VND,ISIC,D3511,NA,NA,power,FALSE,UP19,ultimate_parent,power,power,Trung Nam Group,Trung Nam Group,1,loanbook,FALSE
VN_L024,VN_C024,BIM Solar Ninh Thuan JSC,VN_UP009,BIM Group,380000,VND,456000,VND,ISIC,D3511,NA,NA,power,FALSE,UP1,ultimate_parent,power,power,BIM Group,BIM Group,1,loanbook,FALSE
VN_L025,VN_C025,TTC Solar Tay Ninh JSC,VN_UP010,Thanh Thanh Cong Group,520000,VND,624000,VND,ISIC,D3511,NA,NA,power,FALSE,UP17,ultimate_parent,power,power,Thanh Thanh Cong Group,Thanh Thanh Cong Group,1,loanbook,FALSE
VN_L026,VN_C026,Xuan Thien Solar Dak Lak JSC,VN_UP011,Xuan Thien Group,650000,VND,780000,VND,ISIC,D3511,NA,NA,power,FALSE,UP25,ultimate_parent,power,power,Xuan Thien Group,Xuan Thien Group,1,loanbook,FALSE
VN_L027,VN_C027,Trung Nam Wind Ninh Thuan JSC,VN_UP008,Trung Nam Group,420000,VND,504000,VND,ISIC,D3511,NA,NA,power,FALSE,UP19,ultimate_parent,power,power,Trung Nam Group,Trung Nam Group,1,loanbook,FALSE
VN_L028,VN_C028,T&T Bac Lieu Wind Power JSC,VN_UP012,T&T Group,480000,VND,576000,VND,ISIC,D3511,NA,NA,power,FALSE,UP15,ultimate_parent,power,power,T&T Group,T&T Group,1,loanbook,FALSE
VN_L029,VN_C029,Gia Lai Wind Power JSC,VN_UP013,Gia Lai Electricity JSC,350000,VND,420000,VND,ISIC,D3511,NA,NA,power,FALSE,UP6,ultimate_parent,power,power,Gia Lai Electricity JSC,Gia Lai Electricity JSC,1,loanbook,FALSE
VN_L030,VN_C030,THACO Truong Hai Auto Corp,VN_UP014,THACO Industries,1200000,VND,1440000,VND,ISIC,C2910,NA,NA,automotive,TRUE,UP16,ultimate_parent,automotive,automotive,THACO Industries,THACO Industries,1,loanbook,TRUE
VN_L031,VN_C031,Toyota Vietnam Co Ltd,VN_UP015,Toyota Motor Corporation,850000,VND,1020000,VND,ISIC,C2910,NA,NA,automotive,TRUE,UP18,ultimate_parent,automotive,automotive,Toyota Motor Corporation,Toyota Motor Corporation,1,loanbook,TRUE
VN_L032,VN_C032,Ford Vietnam Ltd,VN_UP016,Ford Motor Company,650000,VND,780000,VND,ISIC,C2910,NA,NA,automotive,TRUE,UP5,ultimate_parent,automotive,automotive,Ford Motor Company,Ford Motor Company,1,loanbook,TRUE
VN_L033,VN_C033,Hyundai Thanh Cong Vietnam,VN_UP017,Hyundai Motor Company,550000,VND,660000,VND,ISIC,C2910,NA,NA,automotive,TRUE,UP10,ultimate_parent,automotive,automotive,Hyundai Motor Company,Hyundai Motor Company,1,loanbook,TRUE
VN_L034,VN_C034,VinFast Auto JSC,VN_UP018,Vingroup JSC,750000,VND,900000,VND,ISIC,C2910,NA,NA,automotive,TRUE,UP24,ultimate_parent,automotive,automotive,Vingroup JSC,Vingroup JSC,1,loanbook,TRUE
VN_L035,VN_C035,VinFast Trading and Service LLC,VN_UP018,Vingroup JSC,250000,VND,300000,VND,ISIC,C2910,NA,NA,automotive,TRUE,UP24,ultimate_parent,automotive,automotive,Vingroup JSC,Vingroup JSC,1,loanbook,TRUE
VN_L036,VN_C036,Honda Vietnam Auto JSC,VN_UP019,Honda Motor Co Ltd,250000,VND,300000,VND,ISIC,C2910,NA,NA,automotive,TRUE,UP9,ultimate_parent,automotive,automotive,Honda Motor Co Ltd,Honda Motor Co Ltd,1,loanbook,TRUE
VN_L037,VN_C037,VICEM Ha Tien 1 JSC,VN_UP020,VICEM,680000,VND,816000,VND,ISIC,C2394,NA,NA,cement,FALSE,UP20,ultimate_parent,cement,cement,VICEM,VICEM,1,loanbook,FALSE
VN_L038,VN_C038,VICEM Bim Son JSC,VN_UP020,VICEM,520000,VND,624000,VND,ISIC,C2394,NA,NA,cement,FALSE,UP20,ultimate_parent,cement,cement,VICEM,VICEM,1,loanbook,FALSE
VN_L039,VN_C039,Holcim Vietnam Ltd,VN_UP021,Holcim Group,800000,VND,960000,VND,ISIC,C2394,NA,NA,cement,FALSE,UP8,ultimate_parent,cement,cement,Holcim Group,Holcim Group,1,loanbook,FALSE
VN_L040,VN_C040,Hoa Phat Dung Quat Steel JSC,VN_UP022,Hoa Phat Group JSC,900000,VND,1080000,VND,ISIC,C2410,NA,NA,steel,FALSE,UP7,ultimate_parent,steel,steel,Hoa Phat Group JSC,Hoa Phat Group JSC,1,loanbook,FALSE
VN_L041,VN_C041,Pomina Steel Corp,VN_UP023,Pomina Group,600000,VND,720000,VND,ISIC,C2410,NA,NA,steel,FALSE,UP14,ultimate_parent,steel,steel,Pomina Group,Pomina Group,1,loanbook,FALSE
VN_L042,VN_C042,Vinacomin TKV JSC,VN_UP024,Vietnam National Coal-Mineral Industries Group,850000,VND,1020000,VND,ISIC,B0510,NA,NA,coal,FALSE,UP22,ultimate_parent,coal,coal,Vietnam National Coal-Mineral Industries Group,Vietnam National Coal-Mineral Industries Group,1,loanbook,FALSE
